epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.732,2.14472,3.40019,2.44407,0.22117,0.35133,0.23517,0.15395,1.49135,3.08912,2.10845,0.00036949,0.00036949,0.00036949
2,429.926,1.59892,2.56076,1.9511,0.28084,0.50413,0.34869,0.22318,1.41212,2.7493,1.94453,0.000732499,0.000732499,0.000732499
3,638.54,1.48114,2.35459,1.85068,0.43049,0.40798,0.32456,0.20342,1.40218,2.4043,1.91119,0.00108818,0.00108818,0.00108818
4,847.061,1.44775,2.27087,1.8275,0.37843,0.39944,0.3734,0.24393,1.43406,2.3883,1.92477,0.001078,0.001078,0.001078
5,1055.3,1.3533,2.08259,1.71979,0.60614,0.35981,0.41751,0.28074,1.32868,2.14082,1.78478,0.001067,0.001067,0.001067
6,1263.8,1.33399,2.03735,1.67628,0.6848,0.38565,0.50436,0.33944,1.29119,1.96806,1.75334,0.00105601,0.00105601,0.00105601
7,1472.27,1.2515,1.93616,1.63108,0.42339,0.46345,0.44345,0.28467,1.3208,2.02786,1.79737,0.00104501,0.00104501,0.00104501
8,1680.76,1.24477,1.84757,1.5985,0.5052,0.50538,0.4739,0.31353,1.25085,1.88114,1.71925,0.00103401,0.00103401,0.00103401
9,1888.95,1.19617,1.8178,1.58503,0.53213,0.513,0.52542,0.378,1.19095,1.74716,1.71772,0.00102301,0.00102301,0.00102301
10,2097.38,1.2466,1.80895,1.6038,0.42485,0.4774,0.45406,0.31647,1.28911,1.86993,1.76504,0.00101201,0.00101201,0.00101201
11,2305.56,1.1831,1.71913,1.58111,0.48741,0.53234,0.51967,0.38202,1.22043,1.70013,1.67641,0.00100101,0.00100101,0.00100101
12,2515.31,1.13223,1.61863,1.52228,0.55447,0.52931,0.55224,0.39804,1.21645,1.67015,1.69707,0.000990012,0.000990012,0.000990012
13,2723.56,1.13866,1.59198,1.50073,0.48728,0.55708,0.50229,0.3611,1.23991,1.66862,1.64765,0.000979013,0.000979013,0.000979013
14,2930.37,1.13381,1.53426,1.5086,0.61788,0.49804,0.55476,0.39566,1.17786,1.65364,1.66453,0.000968014,0.000968014,0.000968014
15,3137.6,1.06927,1.54579,1.46604,0.53381,0.55796,0.54908,0.401,1.15969,1.55043,1.64342,0.000957015,0.000957015,0.000957015
16,3345.27,1.07506,1.43656,1.45419,0.68131,0.49691,0.54547,0.41237,1.17192,1.71475,1.65704,0.000946016,0.000946016,0.000946016
17,3552.69,1.03496,1.45789,1.44781,0.6627,0.48439,0.57015,0.41408,1.19044,1.63425,1.73551,0.000935018,0.000935018,0.000935018
18,3760.03,1.03738,1.37164,1.44981,0.58837,0.54547,0.55486,0.40666,1.15323,1.60677,1.6449,0.000924019,0.000924019,0.000924019
19,3967.07,1.02754,1.34744,1.4449,0.64799,0.47672,0.5577,0.39502,1.19721,1.59342,1.68576,0.00091302,0.00091302,0.00091302
20,4174.15,1.0357,1.34004,1.42306,0.65332,0.52708,0.60459,0.45038,1.1485,1.4376,1.62784,0.000902021,0.000902021,0.000902021
21,4381.31,0.98688,1.32166,1.40823,0.62788,0.52824,0.56984,0.43184,1.12105,1.47761,1.59427,0.000891022,0.000891022,0.000891022
22,4588.41,1.00953,1.25948,1.41623,0.67964,0.52473,0.59497,0.4471,1.15459,1.41706,1.62502,0.000880023,0.000880023,0.000880023
23,4796.16,0.94209,1.2039,1.36661,0.59011,0.55056,0.58656,0.44886,1.11386,1.50606,1.58375,0.000869024,0.000869024,0.000869024
24,5003.68,0.96296,1.2527,1.38796,0.5259,0.5304,0.52557,0.39694,1.10267,1.61176,1.62863,0.000858025,0.000858025,0.000858025
25,5211.37,0.92626,1.20296,1.3665,0.68511,0.52963,0.61183,0.46465,1.14352,1.42389,1.62988,0.000847026,0.000847026,0.000847026
26,5418.7,0.92978,1.15924,1.35639,0.67801,0.59491,0.62067,0.4636,1.12781,1.39328,1.61679,0.000836027,0.000836027,0.000836027
27,5625.72,0.91758,1.12258,1.34561,0.70642,0.60378,0.65531,0.49967,1.13859,1.31913,1.61214,0.000825029,0.000825029,0.000825029
28,5833.29,0.89028,1.15265,1.3241,0.5825,0.54481,0.56798,0.42347,1.17426,1.53168,1.69605,0.00081403,0.00081403,0.00081403
29,6040.04,0.89101,1.08767,1.32738,0.71284,0.53262,0.61545,0.47417,1.10083,1.42046,1.57084,0.000803031,0.000803031,0.000803031
30,6247.58,0.87946,1.04828,1.32459,0.64354,0.53734,0.58509,0.45481,1.04747,1.43338,1.5192,0.000792032,0.000792032,0.000792032
31,6454.67,0.88445,1.06366,1.31838,0.58274,0.53533,0.5483,0.42363,1.15064,1.51061,1.61981,0.000781033,0.000781033,0.000781033
32,6662.24,0.84216,1.01376,1.29069,0.65474,0.56982,0.58205,0.43489,1.11317,1.48723,1.59736,0.000770034,0.000770034,0.000770034
33,6870.16,0.8482,0.97034,1.28184,0.53572,0.54593,0.54555,0.41837,1.12643,1.5173,1.59825,0.000759035,0.000759035,0.000759035
34,7077.46,0.85095,0.99387,1.28175,0.63023,0.54505,0.58993,0.44208,1.16936,1.47608,1.63009,0.000748036,0.000748036,0.000748036
35,7285.75,0.83882,0.98222,1.27178,0.57604,0.55222,0.57857,0.42667,1.1796,1.43737,1.66419,0.000737037,0.000737037,0.000737037
36,7493.14,0.82316,0.92138,1.27598,0.57761,0.54908,0.57447,0.41517,1.20914,1.47626,1.69406,0.000726038,0.000726038,0.000726038
37,7700.87,0.83103,0.94435,1.289,0.54805,0.59033,0.60368,0.45545,1.09026,1.50884,1.55705,0.00071504,0.00071504,0.00071504
38,7908.47,0.80186,0.90033,1.26884,0.58899,0.57438,0.59418,0.43771,1.12125,1.51047,1.61941,0.000704041,0.000704041,0.000704041
39,8117.18,0.81206,0.93168,1.26387,0.50503,0.60326,0.53192,0.39778,1.15373,1.58315,1.63944,0.000693042,0.000693042,0.000693042
40,8324.81,0.77025,0.86133,1.23713,0.6288,0.53867,0.58356,0.43235,1.17913,1.49921,1.68965,0.000682043,0.000682043,0.000682043
41,8533.03,0.78538,0.87523,1.2441,0.50751,0.54917,0.57298,0.42689,1.16487,1.55116,1.65263,0.000671044,0.000671044,0.000671044
42,8741.63,0.79703,0.89083,1.25506,0.62947,0.54265,0.6056,0.44569,1.16872,1.44371,1.64531,0.000660045,0.000660045,0.000660045
43,8949.5,0.78628,0.83153,1.23434,0.60829,0.55662,0.57908,0.44319,1.10585,1.43724,1.58659,0.000649046,0.000649046,0.000649046
44,9157.78,0.77052,0.86689,1.23142,0.66257,0.51235,0.59083,0.4496,1.09604,1.44795,1.57639,0.000638047,0.000638047,0.000638047
45,9366.28,0.76919,0.83582,1.23286,0.56331,0.59105,0.60548,0.45358,1.09717,1.42915,1.58384,0.000627048,0.000627048,0.000627048
46,9574.49,0.73223,0.80204,1.19335,0.71305,0.49965,0.60712,0.46787,1.09046,1.40359,1.59976,0.000616049,0.000616049,0.000616049
47,9783.74,0.71877,0.80886,1.18599,0.66583,0.52305,0.59344,0.4478,1.1237,1.41967,1.62083,0.000605051,0.000605051,0.000605051
