epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7959,2.52264,3.9969,2.53004,0.30577,0.19448,0.11029,0.0603,1.82852,3.97787,2.20491,0.00036949,0.00036949,0.00036949
2,130.162,1.85985,3.22175,2.05596,0.16918,0.37265,0.16224,0.09524,1.65021,3.64397,2.09404,0.000732499,0.000732499,0.000732499
3,190.493,1.68371,2.97721,1.94917,0.2003,0.37034,0.2107,0.14553,1.42226,3.17154,1.86647,0.00108818,0.00108818,0.00108818
4,250.697,1.59656,2.83255,1.87642,0.23902,0.39828,0.24292,0.14932,1.51169,2.87378,1.9281,0.001078,0.001078,0.001078
5,311.028,1.48986,2.60037,1.78906,0.34701,0.40769,0.34003,0.22365,1.34759,2.44374,1.78183,0.001067,0.001067,0.001067
6,371.826,1.43172,2.51027,1.7203,0.36062,0.40491,0.35589,0.2425,1.3607,2.41162,1.76179,0.00105601,0.00105601,0.00105601
7,434.109,1.33142,2.35484,1.6614,0.35019,0.49954,0.34739,0.22499,1.30305,2.45024,1.7681,0.00104501,0.00104501,0.00104501
8,495.528,1.36205,2.29147,1.62859,0.42168,0.43166,0.39788,0.25292,1.31084,2.26299,1.76408,0.00103401,0.00103401,0.00103401
9,556.953,1.32107,2.27555,1.62534,0.37137,0.50592,0.42038,0.26577,1.30922,2.24221,1.79015,0.00102301,0.00102301,0.00102301
10,617.757,1.32056,2.22756,1.6127,0.41666,0.4119,0.40576,0.27966,1.21514,2.15483,1.63476,0.00101201,0.00101201,0.00101201
11,679.082,1.27171,2.11703,1.59589,0.51429,0.36902,0.42173,0.30414,1.18371,2.0323,1.63952,0.00100101,0.00100101,0.00100101
12,740.845,1.2529,2.02255,1.56904,0.43285,0.45156,0.40296,0.29171,1.22898,2.11918,1.62296,0.000990012,0.000990012,0.000990012
13,802.441,1.22853,1.97225,1.53359,0.68324,0.37256,0.44481,0.30691,1.23852,2.03593,1.65812,0.000979013,0.000979013,0.000979013
14,863.928,1.24443,1.96817,1.54484,0.41214,0.48025,0.44377,0.29014,1.31766,2.04095,1.76259,0.000968014,0.000968014,0.000968014
15,925.199,1.18577,1.93522,1.51043,0.44299,0.41953,0.44318,0.32192,1.17927,1.9349,1.60134,0.000957015,0.000957015,0.000957015
16,984.947,1.1751,1.85946,1.49549,0.39651,0.52689,0.45912,0.30773,1.28693,2.03347,1.73141,0.000946016,0.000946016,0.000946016
17,1045.58,1.14159,1.89503,1.47905,0.51963,0.51739,0.51597,0.36171,1.21612,1.92892,1.65827,0.000935018,0.000935018,0.000935018
18,1106.54,1.15604,1.78273,1.49141,0.51729,0.50638,0.53015,0.36682,1.26049,1.74229,1.68421,0.000924019,0.000924019,0.000924019
19,1167.94,1.14998,1.75382,1.48545,0.54859,0.4127,0.46899,0.34058,1.16591,1.81156,1.60704,0.00091302,0.00091302,0.00091302
20,1230.03,1.15791,1.74098,1.46127,0.68355,0.4428,0.51444,0.35556,1.1917,1.89593,1.62528,0.000902021,0.000902021,0.000902021
21,1292.88,1.10963,1.71012,1.45563,0.64512,0.46719,0.47691,0.33731,1.20142,1.76508,1.61271,0.000891022,0.000891022,0.000891022
22,1354.84,1.14194,1.7133,1.47175,0.57522,0.50161,0.52421,0.38572,1.14003,1.67954,1.54946,0.000880023,0.000880023,0.000880023
23,1417.55,1.06985,1.60584,1.41684,0.59122,0.51772,0.55587,0.39988,1.16021,1.69539,1.55362,0.000869024,0.000869024,0.000869024
24,1480.03,1.11698,1.65998,1.43502,0.52715,0.48041,0.51399,0.36534,1.19131,1.70325,1.64141,0.000858025,0.000858025,0.000858025
25,1543.11,1.06088,1.63187,1.416,0.74846,0.39228,0.502,0.36351,1.15587,1.80713,1.5736,0.000847026,0.000847026,0.000847026
26,1604.97,1.06931,1.59195,1.41875,0.57938,0.51365,0.52268,0.38385,1.17161,1.69527,1.56032,0.000836027,0.000836027,0.000836027
27,1666.17,1.05151,1.5501,1.3914,0.5602,0.55225,0.54167,0.37557,1.24554,1.7745,1.6848,0.000825029,0.000825029,0.000825029
28,1726.97,1.05948,1.5656,1.40015,0.55987,0.53035,0.55029,0.40155,1.16664,1.72555,1.58923,0.00081403,0.00081403,0.00081403
29,1788.87,1.05562,1.52156,1.39888,0.65005,0.51507,0.5789,0.41125,1.18578,1.59924,1.57519,0.000803031,0.000803031,0.000803031
30,1850.52,1.0357,1.48427,1.38819,0.55323,0.59789,0.57657,0.40965,1.1671,1.59688,1.58107,0.000792032,0.000792032,0.000792032
31,1912.42,1.02923,1.46472,1.38284,0.52006,0.5077,0.53466,0.38719,1.24014,1.70883,1.675,0.000781033,0.000781033,0.000781033
32,1974.34,0.99264,1.44873,1.35364,0.56755,0.59492,0.56643,0.4261,1.1413,1.60237,1.56705,0.000770034,0.000770034,0.000770034
33,2036.67,0.98543,1.3924,1.34769,0.54261,0.57346,0.57411,0.42383,1.12577,1.56868,1.5682,0.000759035,0.000759035,0.000759035
34,2099.04,1.00573,1.43751,1.3652,0.58602,0.60944,0.5876,0.43455,1.12529,1.52059,1.54347,0.000748036,0.000748036,0.000748036
35,2160.8,0.99154,1.3646,1.35455,0.60264,0.57388,0.59401,0.45173,1.1482,1.50885,1.54392,0.000737037,0.000737037,0.000737037
36,2223.2,0.97719,1.36921,1.33602,0.63023,0.52448,0.58434,0.43321,1.17482,1.58283,1.59147,0.000726038,0.000726038,0.000726038
37,2285.75,0.9961,1.40213,1.36257,0.57812,0.59361,0.55804,0.41473,1.14706,1.56349,1.57369,0.00071504,0.00071504,0.00071504
38,2347.62,0.97535,1.30779,1.35649,0.6557,0.52351,0.5814,0.43807,1.154,1.5131,1.54899,0.000704041,0.000704041,0.000704041
39,2409.56,0.97037,1.3372,1.34316,0.54191,0.56095,0.55755,0.40495,1.16955,1.58153,1.58513,0.000693042,0.000693042,0.000693042
40,2471.98,0.93952,1.27963,1.31834,0.61084,0.50952,0.56292,0.40407,1.18003,1.60643,1.61588,0.000682043,0.000682043,0.000682043
41,2535.27,0.96394,1.29972,1.33935,0.53782,0.56644,0.56901,0.40572,1.18991,1.55354,1.63862,0.000671044,0.000671044,0.000671044
42,2597.59,0.98821,1.3274,1.34874,0.64419,0.50425,0.56771,0.40996,1.2138,1.6019,1.62466,0.000660045,0.000660045,0.000660045
43,2660.5,0.94848,1.25569,1.31231,0.65348,0.48832,0.55899,0.39527,1.23767,1.58605,1.67596,0.000649046,0.000649046,0.000649046
44,2725.37,0.95872,1.27208,1.3281,0.6637,0.48917,0.57939,0.42566,1.13005,1.5261,1.5562,0.000638047,0.000638047,0.000638047
45,2786.61,0.93563,1.26172,1.31857,0.56368,0.5652,0.58774,0.43526,1.12442,1.5365,1.52967,0.000627048,0.000627048,0.000627048
46,2847.79,0.92986,1.22111,1.30223,0.67353,0.55119,0.60705,0.44007,1.17576,1.48756,1.56865,0.000616049,0.000616049,0.000616049
47,2909.64,0.8965,1.19009,1.27578,0.60261,0.55114,0.58174,0.41815,1.25522,1.51772,1.69228,0.000605051,0.000605051,0.000605051
48,2971.02,0.92813,1.21099,1.3048,0.58703,0.5537,0.56471,0.40199,1.21589,1.58134,1.65921,0.000594052,0.000594052,0.000594052
49,3032.15,0.9093,1.18434,1.28873,0.64305,0.4905,0.57464,0.42174,1.14326,1.58667,1.55961,0.000583053,0.000583053,0.000583053
50,3093.4,0.91222,1.20214,1.28956,0.65497,0.50151,0.57716,0.42321,1.17355,1.55459,1.60251,0.000572054,0.000572054,0.000572054
51,3154.74,0.90803,1.20447,1.30033,0.7192,0.52889,0.60689,0.45691,1.11955,1.49047,1.54986,0.000561055,0.000561055,0.000561055
52,3215.89,0.88789,1.14011,1.26891,0.73143,0.5004,0.60665,0.44776,1.13213,1.48836,1.54173,0.000550056,0.000550056,0.000550056
53,3277.59,0.88882,1.11882,1.27871,0.65419,0.55241,0.60117,0.44307,1.12135,1.52529,1.53988,0.000539057,0.000539057,0.000539057
54,3338.67,0.89358,1.1234,1.28039,0.74467,0.535,0.61962,0.46944,1.12333,1.45656,1.53592,0.000528058,0.000528058,0.000528058
55,3402.31,0.87408,1.12069,1.26733,0.71903,0.55479,0.62883,0.46006,1.15567,1.41781,1.56164,0.000517059,0.000517059,0.000517059
56,3465.82,0.89127,1.1445,1.27479,0.59538,0.59708,0.59128,0.44605,1.09544,1.51763,1.50899,0.00050606,0.00050606,0.00050606
57,3530.69,0.84924,1.05605,1.25311,0.61226,0.56948,0.59489,0.4353,1.11514,1.46644,1.55272,0.000495062,0.000495062,0.000495062
58,3592.86,0.86505,1.10525,1.26608,0.62554,0.56709,0.59742,0.43689,1.11359,1.49822,1.52512,0.000484063,0.000484063,0.000484063
59,3655.16,0.84735,1.04616,1.24905,0.63683,0.56447,0.59544,0.44441,1.11552,1.51032,1.52041,0.000473064,0.000473064,0.000473064
60,3717.72,0.86552,1.067,1.2619,0.68409,0.57317,0.60095,0.44933,1.1283,1.46227,1.54955,0.000462065,0.000462065,0.000462065
61,3779.26,0.85554,1.06766,1.24626,0.6006,0.55697,0.57363,0.43464,1.13035,1.50198,1.52407,0.000451066,0.000451066,0.000451066
