epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.064,2.17775,3.56126,2.34662,0.40079,0.33526,0.27687,0.17004,1.56646,3.22276,2.06414,0.00036949,0.00036949,0.00036949
2,216.549,1.63443,2.71154,1.91166,0.36673,0.43866,0.36825,0.24309,1.44293,2.93183,1.89551,0.000732499,0.000732499,0.000732499
3,320.241,1.49309,2.46712,1.80645,0.35826,0.38699,0.33417,0.23082,1.39136,2.5933,1.85343,0.00108818,0.00108818,0.00108818
4,422.78,1.43901,2.36353,1.76846,0.41541,0.39066,0.37594,0.23527,1.48871,2.51826,1.89329,0.001078,0.001078,0.001078
5,524.774,1.38949,2.16131,1.7052,0.67111,0.39798,0.47872,0.30793,1.41364,2.26381,1.83922,0.001067,0.001067,0.001067
6,626.543,1.35994,2.10308,1.64966,0.61619,0.3985,0.44911,0.30366,1.29682,2.13532,1.77527,0.00105601,0.00105601,0.00105601
7,728.64,1.2912,2.02927,1.61693,0.46142,0.49321,0.42748,0.25653,1.33405,2.06551,1.82016,0.00104501,0.00104501,0.00104501
8,830.717,1.28154,1.93128,1.58843,0.57946,0.48134,0.51004,0.34327,1.23974,1.91408,1.68947,0.00103401,0.00103401,0.00103401
9,932.499,1.22523,1.87977,1.56315,0.61214,0.48435,0.52687,0.39363,1.17234,1.77297,1.63228,0.00102301,0.00102301,0.00102301
10,1034.56,1.24606,1.84653,1.5605,0.60721,0.52998,0.51918,0.35349,1.23534,1.78046,1.67889,0.00101201,0.00101201,0.00101201
11,1136.56,1.18992,1.77021,1.53238,0.50609,0.56192,0.55869,0.38357,1.22002,1.69424,1.69808,0.00100101,0.00100101,0.00100101
12,1238.68,1.1757,1.67071,1.5247,0.56,0.51769,0.53681,0.35623,1.23668,1.77378,1.65826,0.000990012,0.000990012,0.000990012
13,1341.12,1.15292,1.63208,1.48578,0.58363,0.50943,0.56838,0.40149,1.22101,1.63825,1.63439,0.000979013,0.000979013,0.000979013
14,1443.46,1.15837,1.58976,1.4859,0.59413,0.51925,0.52694,0.38614,1.20539,1.70788,1.65151,0.000968014,0.000968014,0.000968014
15,1545.25,1.12107,1.56943,1.45903,0.6982,0.53815,0.59543,0.45032,1.15359,1.54091,1.5908,0.000957015,0.000957015,0.000957015
16,1647.62,1.09191,1.50606,1.43368,0.62521,0.54314,0.55829,0.39706,1.22722,1.70998,1.64288,0.000946016,0.000946016,0.000946016
17,1749.55,1.06419,1.49205,1.41894,0.59319,0.52749,0.53044,0.37602,1.22684,1.73965,1.7093,0.000935018,0.000935018,0.000935018
18,1851.82,1.06602,1.42884,1.43371,0.60175,0.61578,0.61555,0.45957,1.14858,1.40095,1.56901,0.000924019,0.000924019,0.000924019
19,1954,1.04205,1.38274,1.40879,0.58679,0.50931,0.52449,0.3736,1.1575,1.64633,1.60774,0.00091302,0.00091302,0.00091302
20,2076.63,1.04099,1.36248,1.38616,0.6567,0.56604,0.61459,0.43721,1.18186,1.47131,1.58482,0.000902021,0.000902021,0.000902021
21,2209.09,1.00068,1.32575,1.37853,0.57305,0.58168,0.56396,0.42319,1.19297,1.50566,1.62281,0.000891022,0.000891022,0.000891022
22,2342.47,1.01467,1.30503,1.38685,0.70552,0.56902,0.62428,0.45121,1.14304,1.43637,1.57251,0.000880023,0.000880023,0.000880023
23,2475.08,0.96515,1.22554,1.34983,0.67022,0.58283,0.62969,0.457,1.15169,1.45731,1.59391,0.000869024,0.000869024,0.000869024
24,2607.55,1.00367,1.30265,1.36595,0.52107,0.58871,0.56428,0.42187,1.11148,1.49123,1.56015,0.000858025,0.000858025,0.000858025
25,2739.69,0.96,1.21655,1.351,0.67517,0.56419,0.6161,0.45258,1.12852,1.40453,1.57032,0.000847026,0.000847026,0.000847026
26,2872.61,0.967,1.19178,1.34762,0.71455,0.55884,0.63029,0.45833,1.15101,1.39961,1.58672,0.000836027,0.000836027,0.000836027
27,3005.16,0.96473,1.15942,1.33677,0.61197,0.60262,0.60934,0.45936,1.10636,1.38003,1.56203,0.000825029,0.000825029,0.000825029
28,3137.64,0.95512,1.20865,1.32691,0.59371,0.56901,0.57622,0.41808,1.15043,1.54257,1.60089,0.00081403,0.00081403,0.00081403
29,3270.72,0.92504,1.12542,1.31179,0.65724,0.55697,0.62694,0.46311,1.13421,1.41911,1.57375,0.000803031,0.000803031,0.000803031
30,6311.34,0.91109,1.10579,1.30555,0.72062,0.60047,0.6214,0.45556,1.13592,1.37442,1.56325,0.000792032,0.000792032,0.000792032
31,6420.51,0.92996,1.12556,1.30941,0.66399,0.58977,0.61957,0.4565,1.08068,1.35313,1.50981,0.000781033,0.000781033,0.000781033
32,6528.12,0.88328,1.04609,1.28511,0.75214,0.51437,0.6219,0.45596,1.15302,1.4059,1.5762,0.000770034,0.000770034,0.000770034
33,6634.87,0.89424,1.06143,1.28542,0.6313,0.56826,0.60437,0.45657,1.08179,1.34095,1.53435,0.000759035,0.000759035,0.000759035
34,6740.55,0.90161,1.07892,1.29577,0.56709,0.60903,0.60872,0.43893,1.14869,1.37607,1.5655,0.000748036,0.000748036,0.000748036
35,6847.02,0.86683,1.01107,1.26496,0.6718,0.60593,0.62493,0.44933,1.12362,1.37849,1.54277,0.000737037,0.000737037,0.000737037
36,6952.87,0.8677,1.01417,1.26377,0.60485,0.60538,0.57536,0.41302,1.14761,1.37613,1.56887,0.000726038,0.000726038,0.000726038
37,7062.45,0.88402,1.028,1.28583,0.67183,0.52821,0.60213,0.45219,1.10132,1.3774,1.53158,0.00071504,0.00071504,0.00071504
38,7169.79,0.83418,0.94717,1.25439,0.57945,0.59929,0.59701,0.45181,1.09327,1.3989,1.49784,0.000704041,0.000704041,0.000704041
39,7275.72,0.85901,0.9892,1.26172,0.67265,0.5694,0.56503,0.39717,1.12988,1.44781,1.58328,0.000693042,0.000693042,0.000693042
40,7383.07,0.82849,0.9294,1.24096,0.63829,0.60953,0.60707,0.44054,1.13357,1.38286,1.57857,0.000682043,0.000682043,0.000682043
41,7488.62,0.84336,0.92402,1.25545,0.68609,0.5256,0.59016,0.43494,1.13304,1.44193,1.5811,0.000671044,0.000671044,0.000671044
42,7595.26,0.85165,0.98545,1.25395,0.62194,0.57846,0.60818,0.45652,1.09946,1.41084,1.53622,0.000660045,0.000660045,0.000660045
43,7700.88,0.827,0.89785,1.23039,0.59337,0.59512,0.56729,0.42615,1.08546,1.38067,1.51648,0.000649046,0.000649046,0.000649046
44,7806.76,0.82609,0.90043,1.22829,0.57433,0.5562,0.5596,0.41653,1.07578,1.48242,1.50054,0.000638047,0.000638047,0.000638047
45,7913.15,0.80629,0.85036,1.22997,0.56644,0.57881,0.57554,0.41959,1.10173,1.50238,1.56363,0.000627048,0.000627048,0.000627048
46,8019.85,0.80017,0.86325,1.20717,0.65606,0.54547,0.60003,0.44299,1.15475,1.41616,1.61122,0.000616049,0.000616049,0.000616049
47,8127.42,0.77669,0.87457,1.18706,0.58324,0.5984,0.56873,0.41849,1.19006,1.43321,1.65786,0.000605051,0.000605051,0.000605051
48,8234.83,0.80739,0.88155,1.22014,0.62392,0.57001,0.56716,0.41871,1.14372,1.46057,1.58623,0.000594052,0.000594052,0.000594052
49,8340.86,0.77066,0.82696,1.19124,0.68526,0.54705,0.62094,0.46461,1.11487,1.33935,1.56983,0.000583053,0.000583053,0.000583053
50,8446.78,0.77318,0.82277,1.18605,0.69104,0.55431,0.62145,0.46401,1.11012,1.40325,1.57081,0.000572054,0.000572054,0.000572054
51,8552.65,0.76808,0.83451,1.20239,0.68763,0.54091,0.58069,0.44304,1.07521,1.4571,1.52427,0.000561055,0.000561055,0.000561055
52,8658.86,0.74366,0.79601,1.17144,0.64112,0.5801,0.62686,0.45243,1.07732,1.38016,1.52705,0.000550056,0.000550056,0.000550056
53,8764.04,0.73975,0.75057,1.17389,0.60638,0.56669,0.58711,0.43317,1.10564,1.42777,1.59763,0.000539057,0.000539057,0.000539057
54,8870.53,0.75145,0.76784,1.17396,0.59616,0.60054,0.59119,0.45391,1.09467,1.41298,1.57874,0.000528058,0.000528058,0.000528058
55,8976.64,0.75035,0.79377,1.18315,0.6056,0.57299,0.59759,0.44725,1.13408,1.40172,1.60205,0.000517059,0.000517059,0.000517059
56,9083.17,0.74655,0.79233,1.17944,0.55524,0.61978,0.59292,0.44822,1.07419,1.41299,1.53018,0.00050606,0.00050606,0.00050606
57,9190.78,0.70915,0.74069,1.15555,0.58333,0.6232,0.59525,0.44328,1.08935,1.3801,1.55065,0.000495062,0.000495062,0.000495062
58,9296.7,0.72204,0.76212,1.15971,0.657,0.55546,0.58278,0.42606,1.11059,1.42201,1.54943,0.000484063,0.000484063,0.000484063
59,9404.24,0.69579,0.71239,1.14103,0.64105,0.54295,0.59604,0.44073,1.14424,1.47944,1.61725,0.000473064,0.000473064,0.000473064
60,9511.91,0.71893,0.69849,1.16153,0.63478,0.57467,0.5949,0.44102,1.13831,1.42599,1.58794,0.000462065,0.000462065,0.000462065
61,9618.96,0.7118,0.71109,1.1445,0.66566,0.54451,0.5805,0.4436,1.09073,1.46907,1.53409,0.000451066,0.000451066,0.000451066
62,9724.83,0.6818,0.71121,1.12838,0.62763,0.564,0.57623,0.4311,1.10994,1.43729,1.53575,0.000440067,0.000440067,0.000440067
63,9831.69,0.68629,0.68886,1.13401,0.62552,0.56989,0.59793,0.44331,1.13073,1.43413,1.59901,0.000429068,0.000429068,0.000429068
64,9938.72,0.69916,0.69399,1.14091,0.7555,0.5148,0.60114,0.44713,1.0782,1.40723,1.53198,0.000418069,0.000418069,0.000418069
65,10044.8,0.6808,0.66832,1.13645,0.5786,0.61241,0.61023,0.44354,1.15044,1.46567,1.616,0.00040707,0.00040707,0.00040707
66,10152.8,0.6513,0.66297,1.12577,0.58266,0.58567,0.60411,0.46197,1.09589,1.38176,1.58203,0.000396071,0.000396071,0.000396071
67,10259.2,0.66636,0.65232,1.1137,0.61861,0.60453,0.62147,0.47352,1.08571,1.44766,1.53381,0.000385073,0.000385073,0.000385073
68,10367.2,0.65672,0.64027,1.12228,0.56176,0.63858,0.61663,0.4658,1.11362,1.41972,1.56153,0.000374074,0.000374074,0.000374074
69,10474.6,0.66055,0.66746,1.11955,0.6599,0.57569,0.61058,0.46083,1.07643,1.33515,1.51414,0.000363075,0.000363075,0.000363075
70,10582.8,0.66212,0.63432,1.11851,0.6373,0.54018,0.60543,0.45789,1.10929,1.4956,1.57116,0.000352076,0.000352076,0.000352076
71,10690.5,0.66552,0.64389,1.11326,0.65501,0.6009,0.626,0.47777,1.11186,1.38339,1.55754,0.000341077,0.000341077,0.000341077
72,10797.3,0.62504,0.62329,1.09321,0.59579,0.59485,0.59111,0.44246,1.12237,1.5042,1.57579,0.000330078,0.000330078,0.000330078
73,10903.6,0.65075,0.66052,1.11595,0.6424,0.56428,0.62426,0.47917,1.06181,1.40524,1.49354,0.000319079,0.000319079,0.000319079
74,11009.9,0.65398,0.6417,1.11925,0.7068,0.55517,0.6108,0.45636,1.12464,1.36605,1.59378,0.00030808,0.00030808,0.00030808
75,11115.9,0.63305,0.62304,1.10378,0.60577,0.61298,0.6132,0.46982,1.08038,1.48677,1.53374,0.000297081,0.000297081,0.000297081
76,11222.1,0.63025,0.62557,1.10386,0.727,0.55703,0.6207,0.47426,1.09465,1.38667,1.54468,0.000286083,0.000286083,0.000286083
77,11328.2,0.61048,0.57875,1.09161,0.72748,0.56631,0.63839,0.48741,1.08422,1.34508,1.55186,0.000275084,0.000275084,0.000275084
78,11433.9,0.61547,0.57964,1.08367,0.66284,0.56741,0.63368,0.47243,1.11672,1.36854,1.57477,0.000264085,0.000264085,0.000264085
79,11539.7,0.62034,0.56535,1.09246,0.64667,0.63498,0.63412,0.48713,1.10839,1.33861,1.56715,0.000253086,0.000253086,0.000253086
80,11645.7,0.6194,0.58636,1.08251,0.60653,0.62943,0.64754,0.49096,1.07238,1.38424,1.54342,0.000242087,0.000242087,0.000242087
81,11752.1,0.61698,0.58338,1.09141,0.62477,0.59599,0.61047,0.47491,1.08452,1.48195,1.55289,0.000231088,0.000231088,0.000231088
82,11858.3,0.60047,0.5661,1.07559,0.65585,0.58903,0.63247,0.47778,1.11101,1.3977,1.5697,0.000220089,0.000220089,0.000220089
83,11965,0.60323,0.56523,1.08633,0.72517,0.57391,0.62906,0.48079,1.09488,1.37749,1.56615,0.00020909,0.00020909,0.00020909
84,12072,0.57901,0.53443,1.06066,0.64998,0.58138,0.61314,0.47063,1.12328,1.371,1.57883,0.000198091,0.000198091,0.000198091
85,12178.1,0.59238,0.54052,1.07916,0.62823,0.59874,0.60939,0.46935,1.10643,1.42079,1.54899,0.000187092,0.000187092,0.000187092
86,12285.1,0.59431,0.55537,1.0802,0.60613,0.60986,0.60963,0.47263,1.11082,1.4251,1.57734,0.000176094,0.000176094,0.000176094
87,12391.6,0.58924,0.54535,1.06112,0.66758,0.56059,0.60438,0.46436,1.1142,1.42597,1.60405,0.000165095,0.000165095,0.000165095
88,12497.7,0.58218,0.53417,1.07091,0.68452,0.53861,0.60158,0.47372,1.06583,1.42478,1.51814,0.000154096,0.000154096,0.000154096
89,12603.7,0.58197,0.52715,1.05941,0.66176,0.5622,0.60443,0.4669,1.07951,1.36626,1.531,0.000143097,0.000143097,0.000143097
90,12710.2,0.57798,0.52891,1.06035,0.58254,0.61532,0.61199,0.47207,1.12268,1.45725,1.55855,0.000132098,0.000132098,0.000132098
91,12855.2,0.47655,0.38199,0.99546,0.54256,0.62044,0.58114,0.45302,1.12833,1.46538,1.57187,0.000121099,0.000121099,0.000121099
92,12962,0.46134,0.35805,0.97918,0.63432,0.57088,0.58798,0.45321,1.08349,1.43133,1.52875,0.0001101,0.0001101,0.0001101
93,13068.4,0.44813,0.34761,0.96644,0.56748,0.65271,0.59043,0.45477,1.09607,1.46546,1.55193,9.91012e-05,9.91012e-05,9.91012e-05
